Team,Wins
Anaheim Ducks,104
Boston Bruins,597
Buffalo Sabres,128
Carolina Hurricanes,91
Columbus Blue Jackets,99
Calgary Flames,182
Cleveland Barons,55
Calorado Avalanche,150
Dallas Stars,299
Detroit Red Wings,751
Edmonton Oilers,147
Florida Panthers,53
Los Angeles Kings,206
Minnesota Wild,85
Montreal Canadians,572
New Jersey Devils,119
Nashville Predators,132
New York Americans,94
New York Islanders,119
New York Rangers,596
Ottawa Senators,38
Philadelphia Flyers,146
Arizona Coyotes,158
Pittsuburg Penguins,143
Seattle Kraken,6
